sensor_ID,sensor_type_ID,sensor_name,serial_number,x,y,elevation,spatial_precision,price,warranty,connection_ID,note,Height_Mesured_Layer_[mm],T1_depth_[mm],T2_depth_[mm],T3_depth_[mm],Measured_Depth_Layer_[mm],location,tree,spatial precision,T1 hloubka,T2 hloubka,T3 hloubka,vlhkost interval,instalace,povodi,transekt,vrt,X,Y
30,TMS4,BP_I_2_buk,94218453,-783130.377,-1036402.281,424,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L20,140,50,-150,-230,290,2,buk,,,,,,,,,,13.8513687861858,50.0963256036515
39,TMS4,BP_I_2_buk,94218462,-783129.7413,-1036410.234,424,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L25,140,50,-150,-230,290,2,buk,,,,,,,,,,13.8513935710326,50.0962556543524
47,TMS4,BP_I_2_buk,94218471,-783136.6469,-1036406.424,424,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L29,140,50,-150,-230,290,2,buk,,,,,,,,,,13.8512903817583,50.0962806266525
6,TMS4,BP_I_2_modrin,94212706,-783139.2597,-1036385.195,422,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,2,modrin,,,,,,,,,,13.8512115523487,50.0964661580635
21,TMS4,BP_I_2_modrin,94212721,-783133.505,-1036377.668,421,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,2,modrin,,,,,,,,,,13.851276025736,50.0965405820041
27,TMS4,BP_I_2_modrin,94212727,-783133.38,-1036384.699,422,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,2,modrin,,,,,,,,,,13.8512918921703,50.0964781767949
40,TMS4,BP_I_2_modrin,94218463,-783136.68,-1036377.086,422,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L25,140,50,-150,-230,290,2,modrin,,,,,,,,,,13.8512309339154,50.0965416544251
46,TMS4,BP_I_2_modrin,94218470,-783139.2068,-1036382.272,422,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L28,140,50,-150,-230,290,2,modrin,,,,,,,,,,13.8512064068276,50.0964922374355
48,TMS4,BP_I_2_modrin,94218472,-783135.9524,-1036382.325,422,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L29,140,50,-150,-230,290,2,modrin,,,,,,,,,,13.8512515333231,50.0964959751438
1,TMS4,BP_I_2_smrk,94212701,-783116.4261,-1036388.164,422,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,2,smrk,,,,,,,,,,13.8515333918878,50.0964692710495
4,TMS4,BP_I_2_smrk,94212704,-783111.9355,-1036391.3,422,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,2,smrk,,,,,,,,,,13.8516018182403,50.0964471727517
28,TMS4,BP_I_2_smrk,94212728,-783116.3203,-1036395.956,423,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,2,smrk,,,,,,,,,,13.851550522463,50.0964000690431
37,TMS4,BP_I_2_smrk,94218460,-783118.5692,-1036391.895,422,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L24,140,50,-150,-230,290,2,smrk,,,,,,,,,,13.8515112469531,50.0964332980403
41,TMS4,BP_I_2_smrk,94218464,-783111.9282,-1036395.255,423,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L26,140,50,-150,-230,290,2,smrk,,,,,,,,,,13.8516098712988,50.0964119877407
42,TMS4,BP_I_2_smrk,94218465,-783110.4994,-1036389.011,422,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L26,140,50,-150,-230,290,2,smrk,,,,,,,,,,13.8516170822597,50.0964693993611
12,TMS4,BP_I_3_buk,94212712,-783201.7608,-1036324.4,420,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,buk,,,,,,,,,,13.8502246896249,50.0969263103866
14,TMS4,BP_I_3_buk,94212714,-783196.2622,-1036323.298,420,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,buk,,,,,,,,,,13.850298539355,50.0969432294441
15,TMS4,BP_I_3_buk,94212715,-783203.6176,-1036328.708,421,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,buk,,,,,,,,,,13.8502076663305,50.0968855729255
17,TMS4,BP_I_3_buk,94212717,-783198.5905,-1036327.849,421,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,buk,,,,,,,,,,13.8502754820762,50.096899719704
34,TMS4,BP_I_3_buk,94218457,-783207.2821,-1036326.803,421,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L22,140,50,-150,-230,290,3,buk,,,,,,,,,,13.8501531421394,50.0968977847123
35,TMS4,BP_I_3_buk,94218458,-783203.1678,-1036333.193,421,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L23,140,50,-150,-230,290,3,buk,,,,,,,,,,13.8502229076492,50.0968462440995
55,TMS4,BP_I_3_buk,94218452,-783205,-1036330,420,raw - ortofoto,2420,30.04.2023,USB cabel,long size L20,140,50,-150,-230,290,3,buk,,,,,,,,,,13.8501911408117,50.0968722875988
56,TMS4,BP_I_3_buk,94216181,-783207.2821,-1036326.803,421,raw - ortofoto,2420,0,USB cabel,long size L20,140,50,-150,-230,290,3,buk,,,,,,,,,,13.8501531421394,50.0968977847123
10,TMS4,BP_I_3_modrin,94212710,-783161.8777,-1036344.553,420,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,modrin,,,,,,,,,,13.8508169430358,50.0967985641786
16,TMS4,BP_I_3_modrin,94212716,-783161.8351,-1036337.841,419,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,modrin,,,,,,,,,,13.8508040358453,50.0968583474186
18,TMS4,BP_I_3_modrin,94212718,-783160.8459,-1036332.806,419,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,modrin,,,,,,,,,,13.8508075956948,50.0969044319311
29,TMS4,BP_I_3_modrin,94218451,-783158.9144,-1036337.833,419,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L20,140,50,-150,-230,290,3,modrin,,,,,,,,,,13.8508444237049,50.0968621964714
36,TMS5,BP_I_3_modrin,94218459,-783166.4021,-1036343.416,420,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L23,140,50,-150,-230,290,3,modrin,,,,,,,,,,13.8507520678592,50.0968028297744
49,TMS4,BP_I_3_modrin,94218473,-783167.3811,-1036338.388,420,raw - ortofoto,2 420.00 Kč,30.04.2023,USB cabel,long_size_L30,140,50,-150,-230,290,3,modrin,,,,,,,,,,13.850728414349,50.0968463061539
5,TMS4,BP_I_3_smrk,94212705,-783155.1846,-1036314.475,418,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,smrk,,,,,,,,,,13.8508490522813,50.0970748769429
20,TMS4,BP_I_3_smrk,94212720,-783161.0584,-1036311.353,417,raw - ortofoto,2 240.00 Kč,30.04.2023,USB cabel,standard_size,140,150,0,-80,140,3,smrk,,,,,,,,,,13.8507615180412,50.0970950610643
