name,Stav,LandUse,X,Y
BP I/4,Ano,Les,13.8516363714781,50.0982768107821
BP I/1,Ano,Les,13.8511787547207,50.0929600109296
BP I/2,Ano,Les,13.8505724082082,50.0948165315988
BP I/3,Ano,Les,13.850425748179,50.096626391603
BP II/5,Ano,Les,13.8611330157398,50.1008280378584
BP II/4,Ano,Les,13.8605222434164,50.0982110635026
BP II/3,Ano,Les,13.8611967389476,50.0968016039095
BP II/2,Ano,Les,13.8617183564494,50.0948839766403
BP II/1,Ano,Les,13.8640018582888,50.0933737709286
BP III/1,Ano,Les,13.8686540113393,50.0989801072878
BP III/2,Ano,Les,13.8694626744957,50.1007403236742
BP III/3,Ano,Les,13.8685717894796,50.1024810072137
KL I/4,Ano,Les,13.8425335154161,50.1161585292053
KL I/5,Ano,Les,13.8429275416631,50.1151281169494
KL I/6,Ano,Les,13.8437128028961,50.1131954139304
KL I/7,Ano,Les,13.8439441887812,50.1111073203979
KL II/4,Ano,Les,13.8519391078725,50.1148353338216
KL II/3,Ano,Les,13.8545675950271,50.1150576887687
KL II/2,Ano,Les,13.8534013543185,50.1168900349415
KL III/1,Ano,Les,13.8647404408141,50.1168687382559
KL III/2,Ano,Les,13.8651167961679,50.1153015380006
KL III/3,Ano,Les,13.8643871102362,50.1142258062157
KL I/8,Ano,Zemedelska_oblast,13.844238821316,50.1088009454528
KL II/5,Ano,Zemedelska_oblast,13.8559558073132,50.1127584564696
KL II/6,Ano,Zemedelska_oblast,13.857043541041,50.110641303244
KL II/7,Ne,Zemedelska_oblast,13.8576506665029,50.1094432024067
BP II/7,Ne,Zemedelska_oblast,13.8587632314136,50.1068514356921
BP II/6,Ano,Zemedelska_oblast,13.8600237659242,50.1040587059987
BP III/4,Ano,Zemedelska_oblast,13.867107103435,50.1047839944561
KL III/4,Ano,Zemedelska_oblast,13.8638404834048,50.1122476985763
KL III/5,Ano,Zemedelska_oblast,13.8637019759696,50.110609751492
KL III/6,Ne,Zemedelska_oblast,13.8650701350021,50.1078612924723
BP I/5,Ne,Zemedelska_oblast,13.8496847248874,50.1032734746982
BP M2,Ano,Zemedelska_oblast,13.8507974783999,50.1009494143995
BP M1,Ano,Zemedelska_oblast,13.8509646199502,50.1007390756716
KL M1,Ano,Zemedelska_oblast,13.845512841102,50.1073276689467
KL M2,Ano,Zemedelska_oblast,13.8457258131332,50.1073115323214
BP 0/1,Ne,Zemedelska_oblast,13.8304137108895,50.100396763002
BP 0/2,Ne,Zemedelska_oblast,13.828135640046,50.1032267956381
BP 0/3,Ne,Zemedelska_oblast,13.8261003413715,50.1063657629697
BP 0/4,Ano,Zemedelska_oblast,13.8285821672386,50.1104835089473
KL IV/1,Ne,Zemedelska_oblast,13.8742661865009,50.1131801099203
BP IV/1,Ne,Zemedelska_oblast,13.8794764619349,50.1041647575504
BP IV/2,Ano,Zemedelska_oblast,13.8722174724198,50.1068490974184
KL IV/2,Ano,Zemedelska_oblast,13.8709677068513,50.1106651332775
BP 0/0,Ne,Zemedelska_oblast,13.8373273830263,50.0979744789477
