elevation,name,Y,X,ID
458.052015672438, Modřín,50.1192989945412,13.8420291244984,92192084
457.993807189727, Buk,50.1192956417799,13.8419754803181,92192080
458.412908357103, Bríza,50.119319781661,13.8419218361378,92192082
459, Osika,50.1193767786026,13.8418976962566,92192024
440.317251590641, Buk,50.1180470734835,13.8419821858406,92192004
442.820154759196, Bříza,50.118191242218,13.8417971134186,92192003
441.714219871537, Buk,50.1181275397539,13.8416066765785,92192008
439.904664622017, Modřín,50.1179659366608,13.8415664434433,92192006
427.637585207449, Buk,50.1172015070915,13.8431033492088,92192007
427, Habr,50.117110311985,13.8430725038052,92192009
427.9496148129, Borovice,50.1171042770147,13.8423737883568,92192010
426.969671760166, Osika,50.1170466095209,13.8423375785351,92192012
422.617833291275, Smrk,50.11603474617,13.8427077233791,92192078
421.213959235206, Smrk,50.116206407547,13.8427935540676,92192022
422, Buk,50.1162305474281,13.8425146043301,92192002
422.965942452196, Dub,50.1160722970963,13.8425253331661,92192013
426.780073909255, Buk,50.1148445159197,13.8431636989117,92192001
428, Modřín,50.1150061190128,13.8429437577724,92192011
427.707964387402, Smrk,50.1148820668459,13.8430295884609,92192089
425.612218672377, Bříza,50.1148371398449,13.8434480130672,92192053
437, Dub,50.1129347831011,13.8438691198826,92192070
438, Modřín,50.112926736474,13.8434989750385,92192065
438, Buk,50.1128797978163,13.8436330854893,92192034
438, Smrk,50.1128556579351,13.8435579836369,92192036
437, Buk,50.1111410558224,13.8440756499767,92192057
438.823624611501, Buk,50.1112785190344,13.8437189161778,92192094
437, Dub,50.1107916980982,13.8439925014973,92201231
440.507232953722, Briza,50.1105784624815,13.8432495296001,92192098
411.23689045701, Buk,50.1146741956472,13.8519532978535,92201232
411, Buk,50.1147667318583,13.8519184291363,92201233
410.889279379776, Smrk,50.1147533208132,13.8521490991116,92201234
411, Smrk,50.1147016882896,13.8521410524845,92201235
398, Habr,50.1149303466082,13.8545496761799,92201237
398.736158787709, Dub,50.1150953024626,13.8543458282948,92201238
397.820610642369, Olše,50.1151261478663,13.8546328246593,92201236
398.109136290063, Smrk 2021 pokacen,50.11494576931,13.8544021546841,92201240
433.759804268536, Buk,50.116970166564,13.8533668220043,92201221
432.213147345065, Dub červený,50.1168635487557,13.8533855974674,92201222
432.328397619828, Dub červený,50.1168481260538,13.853482156992,92201224
426.046302999181, Javor mléč,50.1167052984238,13.8533319532871,92201223
425.360416657386, Jilm vaz,50.1166677474976,13.8535358011723,92201226
444.489619794327, Dub zimní,50.1189925521612,13.8519184291363,92201225
443.370886961278, Buk,50.1189717650414,13.8520203530788,92201228
443.175741855335, Modřín,50.1189529895783,13.8519747555256,92201229
443.254470795208, Smrk,50.1189650595188,13.8521383702755,92201227
416.664543469437, Jeřáb břek,50.1167998462915,13.8648895919323,92201230
416, Dub zimní,50.11674284935,13.8649700582027,92201212
416.132891291021, Buk,50.1168031990528,13.8650853931904,92201211
414.909065192091, Modřín,50.1165725290775,13.8647715747356,92201213
408.82452115072, Dub zimní,50.1160602271557,13.8663701713085,92201216
407, Smrk,50.1157370209694,13.8664881885052,92201218
408, Habr,50.1159435510635,13.8667885959148,92201217
409, Borovice,50.1161775738001,13.8667081296444,92201214
400.95701447688, Jilm vaz,50.11508859694,13.8672043383122,92201215
401.38881851919, Lípa srdčitá,50.1151710748673,13.8673035800457,92201220
400.212011723128, Jedle obrovská,50.1150456815958,13.8673089444637,92201219
398.581226090995, Jilm vaz,50.1148941367865,13.86718288064,92201201
440, Třešeň,50.0928631424904,13.8510949909687,92201452
415, Jasan,50.0964975357056,13.8501481711864,92201456
414, Buk,50.0966162234545,13.8503144681454,92201457
413.96174114741, Lípa,50.0967241823673,13.8502956926823,92201458
415, Smrk,50.096485465765,13.8503573834896,92201455
431, Modřín,50.0946474820375,13.8505826890469,92201453
431, Modřín,50.0946736335754,13.8504593074322,92201454
430.304985217202, Buk,50.094764828682,13.850604146719,92201459
429.772990878766, Smrk,50.094823166728,13.8506336510181,92201460
439.436846877448, Buk,50.0928182154894,13.8510265946388,92201451
440, Smrk,50.0929147750139,13.8513725996017,92201494
440, Modřín,50.0928839296103,13.851423561573,92201493
427.841738018673, Dub,50.0968361645937,13.8613075017929,92201446
428, Lípa,50.0968710333109,13.8611251115799,92201447
428, Smrk,50.096746981144,13.8611707091331,92201448
428, Borovice,50.0967261940241,13.8612163066864,92201445
439.867423096486, Smrk,50.0947024673224,13.8615891337395,92201491
439, Jeřáb břek,50.0947044789791,13.8619539141655,92201495
438, Dub,50.0948298722506,13.8618305325508,92201492
438.610764399356, Borovice,50.0947748869658,13.8619351387024,92201496
445.819088455778, Dub od 12/2020 92201239,50.0931642204523,13.8641506433487,92201500
446, Jeřáb břek,50.0930643081665,13.8642230629921,92201497
446, Modřín,50.093057602644,13.8638877868652,92201499
446, Smrk,50.0929476320744,13.8640031218529,92201498
407.970837016295, Smrk,50.0988920778036,13.8686084747314,92201432
408.050655883019, Smrk,50.098782107234,13.8684529066086,92201433
409, Smrk,50.0987787544727,13.8683134317398,92201431
407.778462593874, Smrk,50.0988578796387,13.8682383298874,92201434
395.299068405944, Smrk,50.1009587198496,13.8682436943054,92201441
394.301771110625, Smrk,50.1010002940893,13.8681873679161,92201435
393.402077093841, Smrk,50.1010411977768,13.8682115077972,92201436
392.385450810383, Smrk,50.1010800898075,13.8682490587235,92201442
373, Modřín,50.1023849844933,13.8685467839241,92201450
373, Dub,50.1024453341961,13.8685414195061,92201443
373, Dub,50.1024312525988,13.868615180254,92201449
